location,state,country
Hagerman NWR--Harris Creek trail,Texas,United States
US-TX-McKinney-1 Nature Pl,Texas,United States
US-TX-Kaufman-W Highway 175 - 32.5897x-96.3372,Texas,United States
Peveto Woods - Baton Rouge Audubon Society Sanctuary,Louisiana,United States
US-FL-Lecanto-903 E Gulf To Lake Hwy - 28.8589x-82.4209,Florida,United States
US-FL-Weeki Wachee-8983 Lismore Ct - 28.5346x-82.5764,Florida,United States
US-FL-New Port Richey-Green Key Park - 28.2534x-82.7569,Florida,United States
US-FL-Saint Petersburg-Sawgrass Lake Park - 27.8385x-82.6680,Florida,United States
US-FL-Naples-I-75 N - 26.2949x-81.7426,Florida,United States
US-FL-Naples-6060 Golden Oaks Ln - 26.2603x-81.7300,Florida,United States
J. N. Ding Darling NWR--McIntyre Creek,Florida,United States
North Collier Regional Park--Nature Trail,Florida,United States
Everglades NP--Gulf Coast Visitor's Center,Florida,United States
Corkscrew Regional Ecosystem Watershed--Bird Rookery Swamp Trails,Florida,United States
US-FL-Miami-Everglades National Park - 25.7614x-80.7752,Florida,United States
Frog Pond WMA--Lucky Hammock,Florida,United States
US-FL-Homestead-3074 SE 7th Ct - 25.4631x-80.4313,Florida,United States
US-TX-Fairview-711 Mustang Dr,Texas,United States
US-TX-Allen-1515 N Greenville Ave - 33.1227x-96.6502,Texas,United States
US-OK-Norman-4497-4799 S Jenkins Ave,Oklahoma,United States
US-OK-Washington-E1300 Rd - 35.1312x-97.4384,Oklahoma,United States
US-OK-Oklahoma City-73099 - 35.5350x-97.7058,Oklahoma,United States
US-OK-Oklahoma City-3800-3998 W Overholser Dr - 35.5112x-97.6921,Oklahoma,United States
US-OK-Oklahoma City-Lake Hefner - 35.5608x-97.6102,Oklahoma,United States
US-OK-Davidson - 34.2789x-98.9273,Oklahoma,United States
Heritage Ranch,Texas,United States
"33.0812x-96.5501 - Jan 26, 2015, 9:17 AM",Texas,United States
"US-TX-McKinney-1401 Wilson Creek Pkwy",Texas,United States
"US-TX-McKinney-965-1149 Wilson Creek Pkwy - 33.1843x-96.6310",Texas,United States
